Major_category,Major,Major_code,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th
Agriculture & Natural Resources,GENERAL AGRICULTURE,1100,128148,90245,74078,2423,0.026147106,50000,34000,80000.0
Agriculture & Natural Resources,AGRICULTURE PRODUCTION AND MANAGEMENT,1101,95326,76865,64240,2266,0.028636059,54000,36000,80000.0
Agriculture & Natural Resources,AGRICULTURAL ECONOMICS,1102,33955,26321,22810,821,0.030248324,63000,40000,98000.0
Agriculture & Natural Resources,ANIMAL SCIENCES,1103,103549,81177,64937,3619,0.0426789,46000,30000,72000.0
Agriculture & Natural Resources,FOOD SCIENCE,1104,24280,17281,12722,894,0.049188446,62000,38500,90000.0
Agriculture & Natural Resources,PLANT SCIENCE AND AGRONOMY,1105,79409,63043,51077,2070,0.031790887000000004,50000,35000,75000.0
Agriculture & Natural Resources,SOIL SCIENCE,1106,6586,4926,4042,264,0.050867052,63000,39400,88000.0
Agriculture & Natural Resources,MISCELLANEOUS AGRICULTURE,1199,8549,6392,5074,261,0.039230422,52000,35000,75000.0
Biology & Life Science,ENVIRONMENTAL SCIENCE,1301,106106,87602,65238,4736,0.051289827,52000,38000,75000.0
Agriculture & Natural Resources,FORESTRY,1302,69447,48228,39613,2144,0.042563329000000004,58000,40500,80000.0
Agriculture & Natural Resources,NATURAL RESOURCES MANAGEMENT,1303,83188,65937,50595,3789,0.054341279000000006,52000,37100,75000.0
Engineering,ARCHITECTURE,1401,294692,216770,163020,20394,0.085991129,63000,40400,93500.0
Humanities & Liberal Arts,AREA ETHNIC AND CIVILIZATION STUDIES,1501,103740,75798,50530,5525,0.06793895900000001,46000,32000,71000.0
Communications & Journalism,COMMUNICATIONS,1901,987676,790696,595739,54390,0.064360314,50000,35000,80000.0
Communications & Journalism,JOURNALISM,1902,418104,314438,235407,20754,0.061916752,50000,35000,80000.0
Communications & Journalism,MASS MEDIA,1903,211213,170474,125489,15431,0.08300476,48000,32000,70000.0
Communications & Journalism,ADVERTISING AND PUBLIC RELATIONS,1904,186829,147433,111552,10624,0.067216257,50000,34000,75000.0
